"TICKET","TRANSACTION DATE","TRANSACTION TYPE","DETAILS","INSTRUMENT","PRICE","UNITS","DIRECTION","SPREAD COST","STOP LOSS","GUARANTEED STOP LOSS","TAKE PROFIT","TRAILING STOP","FINANCING","COMMISSION","GSL FEE","GSL PREMIUM","CONVERSION RATE","PL","AMOUNT","BALANCE"
"12901","2023-11-05 07:48:42 -12","MARKET_ORDER","CLIENT_ORDER","XAU/USD","","1.00","Buy","","","","","","","","","","","","",""
"12902","2023-11-05 07:48:42 -12","ORDER_CANCEL","MARKET_HALTED","","","","","","","","","","","","","","","","",""
"12903","2023-11-05 07:50:23 -12","MARKET_ORDER","CLIENT_ORDER","XAU/USD","","1.00","Buy","","","","","","","","","","","","",""
"12904","2023-11-05 07:50:23 -12","ORDER_CANCEL","MARKET_HALTED","","","","","","","","","","","","","","","","",""
"12905","2023-11-05 08:04:36 -12","MARKET_ORDER","CLIENT_ORDER","XAU/USD","","1.00","Buy","","","","","","","","","","","","",""
"12906","2023-11-05 08:04:36 -12","ORDER_CANCEL","MARKET_HALTED","","","","","","","","","","","","","","","","",""
"12907","2023-11-05 21:07:30 -12","MARKET_ORDER","CLIENT_ORDER","XAU/USD","","1.00","Buy","","","","","","","","","","","","",""
"12908","2023-11-05 21:07:30 -12","ORDER_FILL","MARKET_ORDER","XAU/USD","1985.86000","1.00","Buy","0.1289","","","","","0.00000","0.0000","0.0000","","","0.00000","","97955.80"
"12909","2023-11-05 21:09:04 -12","MARKET_ORDER","TRADE_CLOSE","XAU/USD","","1.00","Sell","","","","","","","","","","","","",""
"12910","2023-11-05 21:09:04 -12","ORDER_FILL","MARKET_ORDER_TRADE_CLOSE","XAU/USD","1985.86000","1.00","Sell","0.1329","","","","","0.00000","0.0000","0.0000","","","0.00000","","97955.80"
"12911","2023-11-05 21:10:39 -12","MARKET_ORDER","CLIENT_ORDER","XAU/USD","","1.00","Buy","","","","","","","","","","","","",""
"12912","2023-11-05 21:10:39 -12","ORDER_FILL","MARKET_ORDER","XAU/USD","1986.82000","1.00","Buy","0.1329","","","","","0.00000","0.0000","0.0000","","","0.00000","","97955.80"
"12913","2023-11-05 21:14:32 -12","MARKET_ORDER","CLIENT_ORDER","XAU/USD","","1.00","Buy","","","","","","","","","","","","",""
"12914","2023-11-05 21:14:32 -12","ORDER_FILL","MARKET_ORDER","XAU/USD","1987.18000","1.00","Buy","0.1329","","","","","0.00000","0.0000","0.0000","","","0.00000","","97955.80"
"12915","2023-11-05 21:14:32 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","1933.06000","","","","","","","","","","","","","","",""
"12916","2023-11-05 21:15:33 -12","MARKET_ORDER","CLIENT_ORDER","XAU/USD","","1.00","Buy","","","","","","","","","","","","",""
"12917","2023-11-05 21:15:33 -12","ORDER_FILL","MARKET_ORDER","XAU/USD","1987.19000","1.00","Buy","0.1409","","","","","0.00000","0.0000","0.0000","","","0.00000","","97955.80"
"12918","2023-11-05 21:15:34 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","1933.06000","","","","","","","","","","","","","","",""
"12919","2023-11-05 21:17:02 -12","MARKET_ORDER","CLIENT_ORDER","XAU/USD","","1.00","Buy","","","","","","","","","","","","",""
"12920","2023-11-05 21:17:02 -12","ORDER_FILL","MARKET_ORDER","XAU/USD","1986.88000","1.00","Buy","0.1369","","","","","0.00000","0.0000","0.0000","","","0.00000","","97955.80"
"12921","2023-11-05 21:17:02 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","1933.06000","","","","","","","","","","","","","","",""
"12922","2023-11-05 21:20:21 -12","MARKET_ORDER","CLIENT_ORDER","XAU/USD","","1.00","Buy","","","","","","","","","","","","",""
"12923","2023-11-05 21:20:21 -12","ORDER_FILL","MARKET_ORDER","XAU/USD","1987.15000","1.00","Buy","0.1449","","","","","0.00000","0.0000","0.0000","","","0.00000","","97955.80"
"12924","2023-11-05 21:20:22 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","1933.06000","","","","","","","","","","","","","","",""
"12925","2023-11-05 21:21:17 -12","MARKET_ORDER","CLIENT_ORDER","XAU/USD","","1.00","Buy","","","","","","","","","","","","",""
"12926","2023-11-05 21:21:17 -12","ORDER_FILL","MARKET_ORDER","XAU/USD","1986.75000","1.00","Buy","0.1410","","","","","0.00000","0.0000","0.0000","","","0.00000","","97955.80"
"12927","2023-11-05 21:21:17 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","1933.06000","","","","","","","","","","","","","","",""
"12928","2023-11-05 21:22:17 -12","MARKET_ORDER","CLIENT_ORDER","XAU/USD","","1.00","Buy","","","","","","","","","","","","",""
"12929","2023-11-05 21:22:17 -12","ORDER_FILL","MARKET_ORDER","XAU/USD","1986.61000","1.00","Buy","0.1208","","","","","0.00000","0.0000","0.0000","","","0.00000","","97955.80"
"12930","2023-11-05 21:22:18 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","1933.06000","","","","","","","","","","","","","","",""
"12931","2023-11-05 21:22:18 -12","TAKE_PROFIT_ORDER","CLIENT_ORDER","","2000.15000","","","","","","","","","","","","","","",""
"12932","2023-11-05 21:22:52 -12","MARKET_ORDER","TRADE_CLOSE","XAU/USD","","1.00","Sell","","","","","","","","","","","","",""
"12933","2023-11-05 21:22:52 -12","ORDER_FILL","MARKET_ORDER_TRADE_CLOSE","XAU/USD","1986.13000","1.00","Sell","0.1450","","","","","0.00000","0.0000","0.0000","","0.81","-0.38870","","97955.41"
"12934","2023-11-05 21:22:52 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"12935","2023-11-05 21:22:52 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"12936","2023-11-05 21:22:59 -12","MARKET_ORDER","POSITION_CLOSEOUT","XAU/USD","","6.00","Sell","","","","","","","","","","","","",""
"12937","2023-11-05 21:22:59 -12","ORDER_FILL","MARKET_ORDER_POSITION_CLOSEOUT","XAU/USD","1986.07000","6.00","Sell","0.8460","","","","","0.00000","0.0000","0.0000","","0.81","-4.49400","","97950.92"
"12938","2023-11-05 21:22:59 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"12939","2023-11-05 21:22:59 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"12940","2023-11-05 21:22:59 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"12941","2023-11-05 21:22:59 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"12942","2023-11-05 21:22:59 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"12943","2023-11-05 21:24:11 -12","MARKET_ORDER","CLIENT_ORDER","XAU/USD","","1.00","Buy","","","","","","","","","","","","",""
"12944","2023-11-05 21:24:11 -12","ORDER_FILL","MARKET_ORDER","XAU/USD","1987.03000","1.00","Buy","0.1289","","","","","0.00000","0.0000","0.0000","","","0.00000","","97950.92"
"12945","2023-11-05 21:24:11 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","1933.06000","","","","","","","","","","","","","","",""
"12946","2023-11-05 21:24:12 -12","TAKE_PROFIT_ORDER","CLIENT_ORDER","","2000.15000","","","","","","","","","","","","","","",""
"12947","2023-11-05 21:24:32 -12","MARKET_ORDER","TRADE_CLOSE","XAU/USD","","1.00","Sell","","","","","","","","","","","","",""
"12948","2023-11-05 21:24:32 -12","ORDER_FILL","MARKET_ORDER_TRADE_CLOSE","XAU/USD","1986.39000","1.00","Sell","0.1410","","","","","0.00000","0.0000","0.0000","","0.81","-0.51810","","97950.40"
"12949","2023-11-05 21:24:32 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"12950","2023-11-05 21:24:32 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"12951","2023-11-05 21:26:54 -12","MARKET_ORDER","CLIENT_ORDER","XAU/USD","","1.00","Buy","","","","","","","","","","","","",""
"12952","2023-11-05 21:26:54 -12","ORDER_FILL","MARKET_ORDER","XAU/USD","1987.00000","1.00","Buy","0.1208","","","","","0.00000","0.0000","0.0000","","","0.00000","","97950.40"
"12953","2023-11-05 21:26:54 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","1933.06000","","","","","","","","","","","","","","",""
"12954","2023-11-05 21:26:54 -12","TAKE_PROFIT_ORDER","CLIENT_ORDER","","2000.15000","","","","","","","","","","","","","","",""
"12955","2023-11-05 21:27:30 -12","MARKET_ORDER","TRADE_CLOSE","XAU/USD","","1.00","Sell","","","","","","","","","","","","",""
"12956","2023-11-05 21:27:30 -12","ORDER_FILL","MARKET_ORDER_TRADE_CLOSE","XAU/USD","1986.71000","1.00","Sell","0.1249","","","","","0.00000","0.0000","0.0000","","0.81","-0.23480","","97950.17"
"12957","2023-11-05 21:27:30 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"12958","2023-11-05 21:27:30 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"12959","2023-11-06 08:31:01 -12","MARKET_ORDER","CLIENT_ORDER","XAU/USD","","1.00","Buy","","","","","","","","","","","","",""
"12960","2023-11-06 08:31:01 -12","ORDER_FILL","MARKET_ORDER","XAU/USD","1979.79000","1.00","Buy","0.1296","","","","","0.00000","0.0000","0.0000","","","0.00000","","97950.17"
"12961","2023-11-06 08:31:01 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","1933.06000","","","","","","","","","","","","","","",""
"12962","2023-11-06 08:31:01 -12","TAKE_PROFIT_ORDER","CLIENT_ORDER","","1939.15000","","","","","","","","","","","","","","",""
"12963","2023-11-06 08:31:01 -12","ORDER_FILL","TAKE_PROFIT_ORDER","XAU/USD","1979.47000","1.00","Sell","0.1296","","","","","0.00000","0.0000","0.0000","","0.81","-0.26050","","97949.91"
"12964","2023-11-06 08:31:01 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"12965","2023-11-06 08:35:43 -12","MARKET_ORDER","CLIENT_ORDER","XAU/USD","","1.00","Buy","","","","","","","","","","","","",""
"12966","2023-11-06 08:35:43 -12","ORDER_FILL","MARKET_ORDER","XAU/USD","1979.30000","1.00","Buy","0.1215","","","","","0.00000","0.0000","0.0000","","","0.00000","","97949.91"
"12967","2023-11-06 08:35:43 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","1933.06000","","","","","","","","","","","","","","",""
"12968","2023-11-06 08:35:43 -12","TAKE_PROFIT_ORDER","CLIENT_ORDER","","1939.15000","","","","","","","","","","","","","","",""
"12969","2023-11-06 08:35:43 -12","ORDER_FILL","TAKE_PROFIT_ORDER","XAU/USD","1979.00000","1.00","Sell","0.1215","","","","","0.00000","0.0000","0.0000","","0.81","-0.24420","","97949.66"
"12970","2023-11-06 08:35:43 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"12971","2023-11-06 10:58:41 -12","MARKET_ORDER","CLIENT_ORDER","BCO/USD","","1.00","Sell","","","","","","","","","","","","",""
"12972","2023-11-06 10:58:41 -12","ORDER_FILL","MARKET_ORDER","BCO/USD","85.96100","1.00","Sell","0.0328","","","","","0.00000","0.0000","0.0000","","","0.00000","","97949.66"
"12973","2023-11-06 10:58:41 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","83.00000","","","","","","","","","","","","","","",""
"12974","2023-11-06 10:58:41 -12","ORDER_FILL","STOP_LOSS_ORDER","BCO/USD","86.04200","1.00","Buy","0.0328","","","","","0.00000","0.0000","0.0000","","0.81","-0.06590","","97949.60"
"12975","2023-11-06 10:58:41 -12","TAKE_PROFIT_ORDER_REJECT","CLIENT_ORDER","","80.00000","","","","","","","","","","","","","","",""
"12976","2023-11-06 11:02:00 -12","MARKET_ORDER","CLIENT_ORDER","JP225/USD","","1.00","Buy","","","","","","","","","","","","",""
"12977","2023-11-06 11:02:00 -12","ORDER_FILL","MARKET_ORDER","JP225/USD","32464.20000","1.00","Buy","3.2402","","","","","0.00000","0.0000","0.0000","","","0.00000","","97949.60"
"12978","2023-11-06 11:02:00 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","31300.00000","","","","","","","","","","","","","","",""
"12979","2023-11-06 11:02:00 -12","TAKE_PROFIT_ORDER","CLIENT_ORDER","","31700.00000","","","","","","","","","","","","","","",""
"12980","2023-11-06 11:02:00 -12","ORDER_FILL","TAKE_PROFIT_ORDER","JP225/USD","32456.20000","1.00","Sell","3.2402","","","","","0.00000","0.0000","0.0000","","0.81","-6.51270","","97943.08"
"12981","2023-11-06 11:02:00 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"12982","2023-11-06 11:02:18 -12","MARKET_ORDER","CLIENT_ORDER","BCO/USD","","1.00","Sell","","","","","","","","","","","","",""
"12983","2023-11-06 11:02:18 -12","ORDER_CANCEL","MARKET_HALTED","","","","","","","","","","","","","","","","",""
"12984","2023-11-06 21:02:36 -12","MARKET_ORDER","CLIENT_ORDER","JP225/USD","","1.00","Sell","","","","","","","","","","","","",""
"12985","2023-11-06 21:02:36 -12","ORDER_FILL","MARKET_ORDER","JP225/USD","32110.90000","1.00","Sell","2.8395","","","","","0.00000","0.0000","0.0000","","","0.00000","","97943.08"
"12986","2023-11-06 21:02:36 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","32400.00000","","","","","","","","","","","","","","",""
"12987","2023-11-06 21:02:36 -12","TAKE_PROFIT_ORDER","CLIENT_ORDER","","32000.00000","","","","","","","","","","","","","","",""
"12988","2023-11-07 09:27:33 -12","MARKET_ORDER","CLIENT_ORDER","JP225/USD","","1.00","Sell","","","","","","","","","","","","",""
"12989","2023-11-07 09:27:33 -12","ORDER_FILL","MARKET_ORDER","JP225/USD","32345.90000","1.00","Sell","2.8462","","","","","0.00000","0.0000","0.0000","","","0.00000","","97943.08"
"12990","2023-11-07 09:27:33 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","32400.00000","","","","","","","","","","","","","","",""
"12991","2023-11-07 09:27:34 -12","TAKE_PROFIT_ORDER","CLIENT_ORDER","","32000.00000","","","","","","","","","","","","","","",""
"12992","2023-11-07 09:39:34 -12","MARKET_ORDER","CLIENT_ORDER","JP225/USD","","1.00","Sell","","","","","","","","","","","","",""
"12993","2023-11-07 09:39:34 -12","ORDER_FILL","MARKET_ORDER","JP225/USD","32352.90000","1.00","Sell","3.2522","","","","","0.00000","0.0000","0.0000","","","0.00000","","97943.08"
"12994","2023-11-07 09:39:36 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","32400.00000","","","","","","","","","","","","","","",""
"12995","2023-11-07 09:39:36 -12","TAKE_PROFIT_ORDER","CLIENT_ORDER","","32000.00000","","","","","","","","","","","","","","",""
"12996","2023-11-07 09:39:40 -12","MARKET_ORDER","CLIENT_ORDER","JP225/USD","","1.00","Sell","","","","","","","","","","","","",""
"12997","2023-11-07 09:39:40 -12","ORDER_FILL","MARKET_ORDER","JP225/USD","32352.90000","1.00","Sell","3.2522","","","","","0.00000","0.0000","0.0000","","","0.00000","","97943.08"
"12998","2023-11-07 09:39:40 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","32400.00000","","","","","","","","","","","","","","",""
"12999","2023-11-07 09:39:40 -12","TAKE_PROFIT_ORDER","CLIENT_ORDER","","32000.00000","","","","","","","","","","","","","","",""
"13000","2023-11-07 09:39:51 -12","MARKET_ORDER","CLIENT_ORDER","XAU/USD","","1.00","Sell","","","","","","","","","","","","",""
"13001","2023-11-07 09:39:51 -12","ORDER_FILL","MARKET_ORDER","XAU/USD","1968.71000","1.00","Sell","0.1464","","","","","0.00000","0.0000","0.0000","","","0.00000","","97943.08"
"13002","2023-11-07 09:39:51 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","32400.00000","","","","","","","","","","","","","","",""
"13003","2023-11-07 09:39:51 -12","TAKE_PROFIT_ORDER","CLIENT_ORDER","","32000.00000","","","","","","","","","","","","","","",""
"13004","2023-11-07 09:39:51 -12","ORDER_FILL","TAKE_PROFIT_ORDER","XAU/USD","1969.07000","1.00","Buy","0.1464","","","","","0.00000","0.0000","0.0000","","0.82","-0.29420","","97942.79"
"13005","2023-11-07 09:39:51 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"13006","2023-11-07 09:43:09 -12","MARKET_ORDER","CLIENT_ORDER","JP225/USD","","1.00","Buy","","","","","","","","","","","","",""
"13007","2023-11-07 09:43:09 -12","ORDER_FILL","MARKET_ORDER","JP225/USD","32357.90000","1.00","Buy","2.8457","","","","","0.00000","0.0000","0.0000","","0.82","-201.82690","","97740.96"
"13008","2023-11-07 09:43:09 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"13009","2023-11-07 09:43:09 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"13010","2023-11-07 09:43:16 -12","MARKET_ORDER","CLIENT_ORDER","XAU/USD","","1.00","Sell","","","","","","","","","","","","",""
"13011","2023-11-07 09:43:16 -12","ORDER_FILL","MARKET_ORDER","XAU/USD","1968.75000","1.00","Sell","0.1301","","","","","0.00000","0.0000","0.0000","","","0.00000","","97740.96"
"13012","2023-11-07 09:43:16 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","32400.00000","","","","","","","","","","","","","","",""
"13013","2023-11-07 09:43:16 -12","TAKE_PROFIT_ORDER","CLIENT_ORDER","","32000.00000","","","","","","","","","","","","","","",""
"13014","2023-11-07 09:43:16 -12","ORDER_FILL","TAKE_PROFIT_ORDER","XAU/USD","1969.07000","1.00","Buy","0.1301","","","","","0.00000","0.0000","0.0000","","0.82","-0.26150","","97740.70"
"13015","2023-11-07 09:43:16 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"13016","2023-11-07 09:44:15 -12","MARKET_ORDER","CLIENT_ORDER","BCO/USD","","1.00","Sell","","","","","","","","","","","","",""
"13017","2023-11-07 09:44:15 -12","ORDER_FILL","MARKET_ORDER","BCO/USD","82.16400","1.00","Sell","0.0122","","","","","0.00000","0.0000","0.0000","","","0.00000","","97740.70"
"13018","2023-11-07 09:44:15 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","83.00000","","","","","","","","","","","","","","",""
"13019","2023-11-07 09:44:15 -12","TAKE_PROFIT_ORDER","CLIENT_ORDER","","80.00000","","","","","","","","","","","","","","",""
"13020","2023-11-07 09:44:22 -12","MARKET_ORDER","CLIENT_ORDER","XAU/USD","","1.00","Sell","","","","","","","","","","","","",""
"13021","2023-11-07 09:44:22 -12","ORDER_FILL","MARKET_ORDER","XAU/USD","1968.60000","1.00","Sell","0.1098","","","","","0.00000","0.0000","0.0000","","","0.00000","","97740.70"
"13022","2023-11-07 09:44:22 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","83.00000","","","","","","","","","","","","","","",""
"13023","2023-11-07 09:44:22 -12","ORDER_FILL","STOP_LOSS_ORDER","XAU/USD","1968.87000","1.00","Buy","0.1098","","","","","0.00000","0.0000","0.0000","","0.82","-0.22060","","97740.48"
"13024","2023-11-07 09:44:22 -12","TAKE_PROFIT_ORDER_REJECT","CLIENT_ORDER","","80.00000","","","","","","","","","","","","","","",""
"13025","2023-11-07 09:45:13 -12","MARKET_ORDER","POSITION_CLOSEOUT","BCO/USD","","1.00","Buy","","","","","","","","","","","","",""
"13026","2023-11-07 09:45:13 -12","ORDER_FILL","MARKET_ORDER_POSITION_CLOSEOUT","BCO/USD","82.20900","1.00","Buy","0.0122","","","","","0.00000","0.0000","0.0000","","0.82","-0.03680","","97740.44"
"13027","2023-11-07 09:45:13 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"13028","2023-11-07 09:45:13 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"13029","2023-11-07 09:45:17 -12","MARKET_ORDER","POSITION_CLOSEOUT","JP225/USD","","3.00","Buy","","","","","","","","","","","","",""
"13030","2023-11-07 09:45:17 -12","ORDER_FILL","MARKET_ORDER_POSITION_CLOSEOUT","JP225/USD","32357.90000","3.00","Buy","8.5377","","","","","0.00000","0.0000","0.0000","","0.82","-17.97810","","97722.47"
"13031","2023-11-07 09:45:17 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"13032","2023-11-07 09:45:17 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"13033","2023-11-07 09:45:17 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"13034","2023-11-07 09:45:17 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"13035","2023-11-07 09:45:17 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"13036","2023-11-07 09:45:17 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"13037","2023-11-07 19:23:19 -12","MARKET_ORDER","CLIENT_ORDER","BCO/USD","","1.00","Buy","","","","","","","","","","","","",""
"13038","2023-11-07 19:23:19 -12","ORDER_FILL","MARKET_ORDER","BCO/USD","82.50900","1.00","Buy","0.0122","","","","","0.00000","0.0000","0.0000","","","0.00000","","97722.47"
"13039","2023-11-07 19:23:19 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","76.00000","","","","","","","","","","","","","","",""
"13040","2023-11-07 19:23:19 -12","TAKE_PROFIT_ORDER","CLIENT_ORDER","","78.50000","","","","","","","","","","","","","","",""
"13041","2023-11-07 19:23:19 -12","ORDER_FILL","TAKE_PROFIT_ORDER","BCO/USD","82.47900","1.00","Sell","0.0122","","","","","0.00000","0.0000","0.0000","","0.82","-0.02460","","97722.44"
"13042","2023-11-07 19:23:19 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"13043","2023-11-08 01:03:21 -12","MARKET_ORDER","CLIENT_ORDER","BCO/USD","","1.00","Buy","","","","","","","","","","","","",""
"13044","2023-11-08 01:03:21 -12","ORDER_FILL","MARKET_ORDER","BCO/USD","81.20400","1.00","Buy","0.0122","","","","","0.00000","0.0000","0.0000","","","0.00000","","97722.44"
"13045","2023-11-08 01:03:21 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","75.00000","","","","","","","","","","","","","","",""
