"TICKET","TRANSACTION DATE","TRANSACTION TYPE","DETAILS","INSTRUMENT","PRICE","UNITS","DIRECTION","SPREAD COST","STOP LOSS","GUARANTEED STOP LOSS","TAKE PROFIT","TRAILING STOP","FINANCING","COMMISSION","GSL FEE","GSL PREMIUM","CONVERSION RATE","PL","AMOUNT","BALANCE"
"13046","2023-11-08 01:03:21 -12","TAKE_PROFIT_ORDER","CLIENT_ORDER","","77.50000","","","","","","","","","","","","","","",""
"13047","2023-11-08 01:03:21 -12","ORDER_FILL","TAKE_PROFIT_ORDER","BCO/USD","81.17400","1.00","Sell","0.0122","","","","","0.00000","0.0000","0.0000","","0.82","-0.02460","","97722.42"
"13048","2023-11-08 01:03:21 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"13049","2023-11-08 03:39:29 -12","MARKET_ORDER","CLIENT_ORDER","JP225/USD","","1.00","Sell","","","","","","","","","","","","",""
"13050","2023-11-08 03:39:29 -12","ORDER_FILL","MARKET_ORDER","JP225/USD","32185.70000","1.00","Sell","2.8528","","","","","0.00000","0.0000","0.0000","","","0.00000","","97722.42"
"13051","2023-11-08 03:39:30 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","32500.00000","","","","","","","","","","","","","","",""
"13052","2023-11-08 03:39:30 -12","TAKE_PROFIT_ORDER","CLIENT_ORDER","","32100.00000","","","","","","","","","","","","","","",""
"13053","2023-11-08 04:52:57 -12","MARKET_ORDER","CLIENT_ORDER","US30/USD","","1.00","Sell","","","","","","","","","","","","",""
"13054","2023-11-08 04:52:57 -12","ORDER_FILL","MARKET_ORDER","US30/USD","34096.20000","1.00","Sell","0.8131","","","","","0.00000","0.0000","0.0000","","","0.00000","","97722.42"
"13055","2023-11-08 04:52:57 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","34220.00000","","","","","","","","","","","","","","",""
"13056","2023-11-08 04:52:57 -12","TAKE_PROFIT_ORDER","CLIENT_ORDER","","34000.00000","","","","","","","","","","","","","","",""
"13057","2023-11-08 05:05:22 -12","ORDER_FILL","TAKE_PROFIT_ORDER","JP225/USD","32097.70000","1.00","Buy","2.8474","","","","","0.00000","0.0000","0.0000","","0.81","71.23360","","97793.65"
"13058","2023-11-08 05:05:22 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"13059","2023-11-08 05:08:01 -12","ORDER_FILL","TAKE_PROFIT_ORDER","US30/USD","33999.20000","1.00","Buy","0.8140","","","","","0.00000","0.0000","0.0000","","0.81","78.56070","","97872.21"
"13060","2023-11-08 05:08:01 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"13061","2023-11-13 03:07:29 -12","MARKET_ORDER","CLIENT_ORDER","XAU/USD","","1.00","Buy","","","","","","","","","","","","",""
"13062","2023-11-13 03:07:29 -12","ORDER_FILL","MARKET_ORDER","XAU/USD","1936.04000","1.00","Buy","0.1347","","","","","0.00000","0.0000","0.0000","","","0.00000","","97872.21"
"13063","2023-11-13 03:07:31 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","1930.00000","","","","","","","","","","","","","","",""
"13064","2023-11-13 03:07:31 -12","TAKE_PROFIT_ORDER","CLIENT_ORDER","","1950.00000","","","","","","","","","","","","","","",""
"13065","2023-11-13 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","","-0.28890","","","","","","","97871.92"
"","2023-11-13 10:00:00 -12","DAILY_FINANCING","Trade ID: 13062","XAU/USD","","","","","","","","","-0.28890","","","","","","",""
"13066","2023-11-14 01:30:02 -12","ORDER_FILL","TAKE_PROFIT_ORDER","XAU/USD","1950.02000","1.00","Sell","1.2368","","","","","0.00000","0.0000","0.0000","","0.81","11.28090","","97883.20"
"13067","2023-11-14 01:30:02 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"13068","2023-11-27 04:43:23 -12","MARKET_ORDER","CLIENT_ORDER","XAU/USD","","1.00","Buy","","","","","","","","","","","","",""
"13069","2023-11-27 04:43:23 -12","ORDER_FILL","MARKET_ORDER","XAU/USD","2007.58000","1.00","Buy","0.1428","","","","","0.00000","0.0000","0.0000","","","0.00000","","97883.20"
"13070","2023-11-27 04:43:23 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","1992.00000","","","","","","","","","","","","","","",""
"13071","2023-11-27 04:43:23 -12","TAKE_PROFIT_ORDER","CLIENT_ORDER","","2020.00000","","","","","","","","","","","","","","",""
"13072","2023-11-27 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","","-0.29340","","","","","","","97882.91"
"","2023-11-27 10:00:00 -12","DAILY_FINANCING","Trade ID: 13069","XAU/USD","","","","","","","","","-0.29340","","","","","","",""
"13073","2023-11-28 01:42:33 -12","ORDER_FILL","TAKE_PROFIT_ORDER","XAU/USD","2020.33000","1.00","Sell","0.1582","","","","","0.00000","0.0000","0.0000","","0.79","10.03760","","97892.95"
"13074","2023-11-28 01:42:33 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"13075","2023-11-28 05:37:48 -12","MARKET_ORDER","CLIENT_ORDER","US30/USD","","1.00","Sell","","","","","","","","","","","","",""
"13076","2023-11-28 05:37:48 -12","ORDER_FILL","MARKET_ORDER","US30/USD","35405.60000","1.00","Sell","0.7874","","","","","0.00000","0.0000","0.0000","","","0.00000","","97892.95"
"13077","2023-11-28 05:37:48 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","35550.00000","","","","","","","","","","","","","","",""
"13078","2023-11-28 05:37:48 -12","TAKE_PROFIT_ORDER","CLIENT_ORDER","","35300.00000","","","","","","","","","","","","","","",""
"13079","2023-11-28 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","","2.14320","","","","","","","97895.09"
"","2023-11-28 10:00:00 -12","DAILY_FINANCING","Trade ID: 13076","US30/USD","","","","","","","","","2.14320","","","","","","",""
"13080","2023-11-28 11:00:04 -12","DIVIDEND_ADJUSTMENT","","US30/USD","","","","","","","","","","","","","","","-28.90","97866.19"
"13081","2023-11-29 06:26:42 -12","ORDER_FILL","STOP_LOSS_ORDER","US30/USD","35553.60000","1.00","Buy","0.7872","","","","","0.00000","0.0000","0.0000","","0.79","-117.09550","","97749.10"
"13082","2023-11-29 06:26:42 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"13083","2023-11-29 19:55:15 -12","MARKET_ORDER","CLIENT_ORDER","BCO/USD","","1.00","Buy","","","","","","","","","","","","",""
"13084","2023-11-29 19:55:15 -12","ORDER_FILL","MARKET_ORDER","BCO/USD","83.56300","1.00","Buy","0.0118","","","","","0.00000","0.0000","0.0000","","","0.00000","","97749.10"
"13085","2023-11-29 19:55:16 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","76.50000","","","","","","","","","","","","","","",""
"13086","2023-11-29 19:55:16 -12","TAKE_PROFIT_ORDER","CLIENT_ORDER","","79.50000","","","","","","","","","","","","","","",""
"13087","2023-11-29 19:55:16 -12","ORDER_FILL","TAKE_PROFIT_ORDER","BCO/USD","83.53300","1.00","Sell","0.0118","","","","","0.00000","0.0000","0.0000","","0.79","-0.02380","","97749.07"
"13088","2023-11-29 19:55:16 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"13089","2023-11-30 02:59:22 -12","MARKET_ORDER","CLIENT_ORDER","US30/USD","","1.00","Sell","","","","","","","","","","","","",""
"13090","2023-11-30 02:59:22 -12","ORDER_FILL","MARKET_ORDER","US30/USD","35688.60000","1.00","Sell","0.7920","","","","","0.00000","0.0000","0.0000","","","0.00000","","97749.07"
"13091","2023-11-30 02:59:23 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","35850.00000","","","","","","","","","","","","","","",""
"13092","2023-11-30 02:59:23 -12","TAKE_PROFIT_ORDER","CLIENT_ORDER","","35500.00000","","","","","","","","","","","","","","",""
"13093","2023-11-30 08:43:33 -12","ORDER_FILL","STOP_LOSS_ORDER","US30/USD","35851.60000","1.00","Buy","0.7925","","","","","0.00000","0.0000","0.0000","","0.80","-129.81980","","97619.25"
"13094","2023-11-30 08:43:33 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"13095","2023-12-01 20:11:08 -12","MARKET_ORDER","CLIENT_ORDER","XAU/USD","","1.00","Sell","","","","","","","","","","","","",""
"13096","2023-12-01 20:11:08 -12","ORDER_CANCEL","MARKET_HALTED","","","","","","","","","","","","","","","","",""
"13097","2023-12-01 20:11:08 -12","MARKET_ORDER","CLIENT_ORDER","US30/USD","","1.00","Sell","","","","","","","","","","","","",""
"13098","2023-12-01 20:11:08 -12","ORDER_CANCEL","MARKET_HALTED","","","","","","","","","","","","","","","","",""
"13099","2023-12-01 20:11:08 -12","MARKET_ORDER","CLIENT_ORDER","US30/USD","","1.00","Sell","","","","","","","","","","","","",""
"13100","2023-12-01 20:11:08 -12","ORDER_CANCEL","MARKET_HALTED","","","","","","","","","","","","","","","","",""
"13101","2023-12-03 23:01:13 -12","MARKET_ORDER","CLIENT_ORDER","BCO/USD","","1.00","Sell","","","","","","","","","","","","",""
"13102","2023-12-03 23:01:13 -12","ORDER_FILL","MARKET_ORDER","BCO/USD","78.24700","1.00","Sell","0.0118","","","","","0.00000","0.0000","0.0000","","","0.00000","","97619.25"
"13103","2023-12-03 23:01:14 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","76.00000","","","","","","","","","","","","","","",""
"13104","2023-12-03 23:01:14 -12","ORDER_FILL","STOP_LOSS_ORDER","BCO/USD","78.27700","1.00","Buy","0.0118","","","","","0.00000","0.0000","0.0000","","0.79","-0.02380","","97619.23"
"13105","2023-12-03 23:01:14 -12","TAKE_PROFIT_ORDER_REJECT","CLIENT_ORDER","","71.00000","","","","","","","","","","","","","","",""
"13106","2023-12-04 01:35:44 -12","MARKET_ORDER","CLIENT_ORDER","XAU/USD","","1.00","Sell","","","","","","","","","","","","",""
"13107","2023-12-04 01:35:44 -12","ORDER_FILL","MARKET_ORDER","XAU/USD","2062.49000","1.00","Sell","0.1381","","","","","0.00000","0.0000","0.0000","","","0.00000","","97619.23"
"13108","2023-12-04 01:35:45 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","2070.00000","","","","","","","","","","","","","","",""
"13109","2023-12-04 01:35:45 -12","TAKE_PROFIT_ORDER","CLIENT_ORDER","","2052.00000","","","","","","","","","","","","","","",""
"13110","2023-12-04 02:04:05 -12","MARKET_ORDER","CLIENT_ORDER","XAU/USD","","1.00","Sell","","","","","","","","","","","","",""
"13111","2023-12-04 02:04:05 -12","ORDER_FILL","MARKET_ORDER","XAU/USD","2053.31000","1.00","Sell","0.1463","","","","","0.00000","0.0000","0.0000","","","0.00000","","97619.23"
"13112","2023-12-04 02:04:05 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","2070.00000","","","","","","","","","","","","","","",""
"13113","2023-12-04 02:04:05 -12","TAKE_PROFIT_ORDER","CLIENT_ORDER","","2052.00000","","","","","","","","","","","","","","",""
"13114","2023-12-04 02:04:40 -12","ORDER_FILL","TAKE_PROFIT_ORDER","XAU/USD","2051.98000","1.00","Buy","0.1660","","","","","0.00000","0.0000","0.0000","","0.79","8.26890","","97627.50"
"13115","2023-12-04 02:04:40 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"13116","2023-12-04 02:04:40 -12","ORDER_FILL","TAKE_PROFIT_ORDER","XAU/USD","2051.98000","1.00","Buy","0.1660","","","","","0.00000","0.0000","0.0000","","0.79","1.04640","","97628.55"
"13117","2023-12-04 02:04:40 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"13118","2023-12-04 02:34:42 -12","MARKET_ORDER","CLIENT_ORDER","US30/USD","","1.00","Sell","","","","","","","","","","","","",""
"13119","2023-12-04 02:34:42 -12","ORDER_FILL","MARKET_ORDER","US30/USD","36134.30000","1.00","Sell","0.7923","","","","","0.00000","0.0000","0.0000","","","0.00000","","97628.55"
"13120","2023-12-04 02:34:42 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","36300.00000","","","","","","","","","","","","","","",""
"13121","2023-12-04 02:34:42 -12","TAKE_PROFIT_ORDER","CLIENT_ORDER","","36050.00000","","","","","","","","","","","","","","",""
"13122","2023-12-04 03:24:42 -12","MARKET_ORDER","CLIENT_ORDER","NAS100/USD","","1.00","Sell","","","","","","","","","","","","",""
"13123","2023-12-04 03:24:42 -12","ORDER_FILL","MARKET_ORDER","NAS100/USD","15735.60000","1.00","Sell","0.2773","","","","","0.00000","0.0000","0.0000","","","0.00000","","97628.55"
"13124","2023-12-04 03:24:42 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","16000.00000","","","","","","","","","","","","","","",""
"13125","2023-12-04 03:24:42 -12","TAKE_PROFIT_ORDER","CLIENT_ORDER","","15600.00000","","","","","","","","","","","","","","",""
"13126","2023-12-04 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","","3.17710","","","","","","","97631.72"
"","2023-12-04 10:00:00 -12","DAILY_FINANCING","Trade ID: 13123","NAS100/USD","","","","","","","","","0.96710","","","","","","",""
"","2023-12-04 10:00:00 -12","DAILY_FINANCING","Trade ID: 13119","US30/USD","","","","","","","","","2.21000","","","","","","",""
"13127","2023-12-04 11:00:04 -12","DIVIDEND_ADJUSTMENT","","NAS100/USD","","","","","","","","","","","","","","","-0.31","97631.41"
"13128","2023-12-04 23:45:45 -12","MARKET_ORDER","CLIENT_ORDER","US30/USD","","1.00","Sell","","","","","","","","","","","","",""
"13129","2023-12-04 23:45:45 -12","ORDER_FILL","MARKET_ORDER","US30/USD","36102.30000","1.00","Sell","0.9908","","","","","0.00000","0.0000","0.0000","","","0.00000","","97631.41"
"13130","2023-12-04 23:45:45 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","36250.00000","","","","","","","","","","","","","","",""
"13131","2023-12-04 23:45:45 -12","TAKE_PROFIT_ORDER","CLIENT_ORDER","","35950.00000","","","","","","","","","","","","","","",""
"13132","2023-12-05 00:02:40 -12","MARKET_ORDER","CLIENT_ORDER","XAU/USD","","1.00","Sell","","","","","","","","","","","","",""
"13133","2023-12-05 00:02:40 -12","ORDER_FILL","MARKET_ORDER","XAU/USD","2024.12000","1.00","Sell","0.1267","","","","","0.00000","0.0000","0.0000","","","0.00000","","97631.41"
"13134","2023-12-05 00:02:41 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","2040.00000","","","","","","","","","","","","","","",""
"13135","2023-12-05 00:02:41 -12","TAKE_PROFIT_ORDER","CLIENT_ORDER","","2010.00000","","","","","","","","","","","","","","",""
"13136","2023-12-05 02:20:16 -12","MARKET_ORDER","CLIENT_ORDER","NATGAS/USD","","1.00","Buy","","","","","","","","","","","","",""
"13137","2023-12-05 02:20:16 -12","ORDER_FILL","MARKET_ORDER","NATGAS/USD","2.60600","1.00","Buy","0.0028","","","","","0.00000","0.0000","0.0000","","","0.00000","","97631.41"
"13138","2023-12-05 02:20:16 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","2650.00000","","","","","","","","","","","","","","",""
"13139","2023-12-05 02:20:16 -12","ORDER_FILL","STOP_LOSS_ORDER","NATGAS/USD","2.59900","1.00","Sell","0.0028","","","","","0.00000","0.0000","0.0000","","0.80","-0.00560","","97631.41"
"13140","2023-12-05 02:20:16 -12","TAKE_PROFIT_ORDER_REJECT","CLIENT_ORDER","","2900.00000","","","","","","","","","","","","","","",""
"13141","2023-12-05 02:38:37 -12","ORDER_FILL","TAKE_PROFIT_ORDER","US30/USD","36048.60000","1.00","Buy","0.7926","","","","","0.00000","0.0000","0.0000","","0.79","67.58190","","97698.99"
"13142","2023-12-05 02:38:37 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"13143","2023-12-05 03:14:10 -12","MARKET_ORDER","CLIENT_ORDER","XAU/USD","","1.00","Sell","","","","","","","","","","","","",""
"13144","2023-12-05 03:14:10 -12","ORDER_FILL","MARKET_ORDER","XAU/USD","2018.30000","1.00","Sell","0.1861","","","","","0.00000","0.0000","0.0000","","","0.00000","","97698.99"
"13145","2023-12-05 03:14:10 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","2030.00000","","","","","","","","","","","","","","",""
"13146","2023-12-05 03:14:11 -12","TAKE_PROFIT_ORDER","CLIENT_ORDER","","2005.00000","","","","","","","","","","","","","","",""
"13147","2023-12-05 06:30:37 -12","MARKET_ORDER","CLIENT_ORDER","BCO/USD","","1.00","Sell","","","","","","","","","","","","",""
"13148","2023-12-05 06:30:37 -12","ORDER_FILL","MARKET_ORDER","BCO/USD","77.64900","1.00","Sell","0.0119","","","","","0.00000","0.0000","0.0000","","","0.00000","","97698.99"
"13149","2023-12-05 06:30:37 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","75.00000","","","","","","","","","","","","","","",""
"13150","2023-12-05 06:30:37 -12","ORDER_FILL","STOP_LOSS_ORDER","BCO/USD","77.67900","1.00","Buy","0.0119","","","","","0.00000","0.0000","0.0000","","0.80","-0.02400","","97698.96"
"13151","2023-12-05 06:30:37 -12","TAKE_PROFIT_ORDER_REJECT","CLIENT_ORDER","","70.00000","","","","","","","","","","","","","","",""
"13152","2023-12-05 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","","3.64880","","","","","","","97702.61"
"","2023-12-05 10:00:00 -12","DAILY_FINANCING","Trade ID: 13133","XAU/USD","","","","","","","","","0.19800","","","","","","",""
"","2023-12-05 10:00:00 -12","DAILY_FINANCING","Trade ID: 13144","XAU/USD","","","","","","","","","0.19800","","","","","","",""
"","2023-12-05 10:00:00 -12","DAILY_FINANCING","Trade ID: 13123","NAS100/USD","","","","","","","","","0.99330","","","","","","",""
"","2023-12-05 10:00:00 -12","DAILY_FINANCING","Trade ID: 13129","US30/USD","","","","","","","","","2.25950","","","","","","",""
"13153","2023-12-05 19:40:21 -12","ORDER_FILL","STOP_LOSS_ORDER","XAU/USD","2030.01000","1.00","Buy","0.1508","","","","","0.00000","0.0000","0.0000","","0.80","-9.34060","","97693.27"
"13154","2023-12-05 19:40:21 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"13155","2023-12-06 01:21:02 -12","MARKET_ORDER","CLIENT_ORDER","XAU/USD","","1.00","Sell","","","","","","","","","","","","",""
"13156","2023-12-06 01:21:02 -12","ORDER_FILL","MARKET_ORDER","XAU/USD","2029.72000","1.00","Sell","0.1469","","","","","0.00000","0.0000","0.0000","","","0.00000","","97693.27"
"13157","2023-12-06 01:21:02 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","2050.00000","","","","","","","","","","","","","","",""
"13158","2023-12-06 01:21:02 -12","TAKE_PROFIT_ORDER","CLIENT_ORDER","","2015.00000","","","","","","","","","","","","","","",""
"13159","2023-12-06 02:00:23 -12","ORDER_FILL","STOP_LOSS_ORDER","NAS100/USD","16000.50000","1.00","Buy","0.7541","","","","","0.00000","0.0000","0.0000","","0.80","-211.31860","","97481.95"
"13160","2023-12-06 02:00:23 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"13161","2023-12-06 02:30:52 -12","ORDER_FILL","STOP_LOSS_ORDER","US30/USD","36250.10000","1.00","Buy","0.7936","","","","","0.00000","0.0000","0.0000","","0.80","-117.88480","","97364.07"
"13162","2023-12-06 02:30:52 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"13163","2023-12-06 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","","0.40100","","","","","","","97364.47"
"","2023-12-06 10:00:00 -12","DAILY_FINANCING","Trade ID: 13133","XAU/USD","","","","","","","","","0.20050","","","","","","",""
"","2023-12-06 10:00:00 -12","DAILY_FINANCING","Trade ID: 13156","XAU/USD","","","","","","","","","0.20050","","","","","","",""
"13164","2023-12-07 01:47:38 -12","ORDER_FILL","STOP_LOSS_ORDER","XAU/USD","2040.01000","1.00","Buy","0.1391","","","","","0.00000","0.0000","0.0000","","0.80","-12.69120","","97351.78"
"13165","2023-12-07 01:47:38 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"13166","2023-12-07 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","","0.20020","","","","","","","97351.98"
"","2023-12-07 10:00:00 -12","DAILY_FINANCING","Trade ID: 13156","XAU/USD","","","","","","","","","0.20020","","","","","","",""
"13167","2023-12-07 23:37:07 -12","MARKET_ORDER","CLIENT_ORDER","XAU/USD","","1.00","Sell","","","","","","","","","","","","",""
"13168","2023-12-07 23:37:07 -12","ORDER_FILL","MARKET_ORDER","XAU/USD","2029.91000","1.00","Sell","0.1033","","","","","0.00000","0.0000","0.0000","","","0.00000","","97351.98"
"13169","2023-12-07 23:37:07 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","2040.00000","","","","","","","","","","","","","","",""
"13170","2023-12-07 23:37:07 -12","TAKE_PROFIT_ORDER","CLIENT_ORDER","","2020.00000","","","","","","","","","","","","","","",""
"13171","2023-12-08 01:30:22 -12","ORDER_FILL","TAKE_PROFIT_ORDER","XAU/USD","2019.96000","1.00","Buy","0.1038","","","","","0.00000","0.0000","0.0000","","0.79","7.90260","","97359.88"
"13172","2023-12-08 01:30:22 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"13173","2023-12-08 01:35:42 -12","ORDER_FILL","TAKE_PROFIT_ORDER","XAU/USD","2014.77000","1.00","Buy","0.1078","","","","","0.00000","0.0000","0.0000","","0.79","11.87500","","97371.76"
"13174","2023-12-08 01:35:42 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"13175","2023-12-10 23:52:06 -12","MARKET_ORDER","CLIENT_ORDER","XAU/USD","","1.00","Sell","","","","","","","","","","","","",""
"13176","2023-12-10 23:52:06 -12","ORDER_FILL","MARKET_ORDER","XAU/USD","1994.18000","1.00","Sell","0.1232","","","","","0.00000","0.0000","0.0000","","","0.00000","","97371.76"
"13177","2023-12-10 23:52:06 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","2000.00000","","","","","","","","","","","","","","",""
"13178","2023-12-10 23:52:06 -12","TAKE_PROFIT_ORDER","CLIENT_ORDER","","1982.00000","","","","","","","","","","","","","","",""
"13179","2023-12-11 03:35:47 -12","ORDER_FILL","TAKE_PROFIT_ORDER","XAU/USD","1981.83000","1.00","Buy","0.1353","","","","","0.00000","0.0000","0.0000","","0.79","9.77920","","97381.54"
"13180","2023-12-11 03:35:47 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""